City,Safe and accessible housing,Adequate affordable energy supply,Inclusive access to safe drinking water,Effective Sanitation,Sufficient affordable food supply,Inclusive labour policies,Relevant skills and training,Local business development and innovation,Supportive financing mechanisms,Diverse protection of livelihoods following a shock,Robust public health systems,Adequate access to quality healthcare,Emergency medical care,Effective emergency response services,Local community support,Cohesive communities,Strong city-wide identity and culture,Actively engaged citizens,Effective systems to deter crime,Proactive corruption prevention,Competent policing,Accessible criminal & civil justice,Well-managed public finances,Comprehensive business continuity planning,Diverse economic base,Attractive business environment,Strong integration with regional and global economies,Comprehensive hazard and exposure mapping,"Appropriate codes, standards and enforcement",Effectively managed protective ecosystems,Robust protective infrastructure,Effective stewardship of ecosystems,Flexible infrastructure,Retained spare capacity,Diligent maintenance & continuity,Adequate continuity for critical assets and services,Diverse and affordable transport networks,Effective transport operation and maintenance,Reliable communications technology,Secure technology networks,Appropriate government decision-making,Effective co-ordination with other government bodies,Proactive multi-stakeholder collaboration,Comprehensive hazard monitoring and risk assessment,Comprehensive government emergency management,Adequate education for all,Widespread community awareness and preparedness,Effective mechanisms for communities to engage with government,Comprehensive city monitoring & data management,Consultative planning process,Appropriate land use and zoning,Robust planning approval process
Surat,84,73,198,15,54,123,26,51,43,56,9,135,10,195,116,64,95,1,9,13,63,37,104,58,35,148,13,110,109,61,45,43,61,26,5,0,60,65,72,102,52,55,28,78,5,46,135,111,582,239,16,220
Pune,111,90,113,20,80,253,44,219,131,204,12,173,24,351,326,139,123,27,44,165,17,56,242,253,118,383,59,78,100,226,105,156,205,90,4,0,77,108,54,113,96,75,95,65,1,66,104,164,660,572,36,499
Chennai,96,109,674,57,64,292,30,137,87,162,13,90,40,640,443,245,249,40,12,211,35,29,492,254,65,272,17,350,178,205,137,122,143,80,11,0,72,99,58,121,390,275,142,368,20,39,273,461,862,652,205,546
Seoul,81,87,10,6,12,195,16,96,62,34,8,43,4,217,225,111,131,5,51,95,47,50,152,60,65,161,26,109,101,39,68,35,67,11,10,0,4,15,32,79,73,58,42,119,38,27,119,148,226,100,4,71
Kyoto,7,21,3,3,10,56,7,144,33,21,3,14,3,114,202,76,137,5,0,15,4,2,105,45,14,87,31,46,9,32,19,30,12,14,1,0,8,7,10,48,33,49,46,34,7,7,82,103,123,34,12,31
Toyama,6,69,25,7,21,87,8,106,28,65,8,46,8,188,146,71,104,0,2,37,2,2,113,123,59,157,8,67,69,80,84,59,98,9,4,0,28,65,16,40,39,43,30,55,7,27,76,108,506,239,13,223
Bangkok,13,102,129,21,27,88,43,91,103,63,17,138,21,314,239,155,184,2,7,33,11,16,128,109,122,254,42,184,64,49,118,48,130,83,3,0,85,144,36,124,17,32,34,222,37,28,186,170,494,264,47,247
Da Nang,66,49,49,6,11,50,30,81,69,28,5,28,16,235,158,67,75,0,0,7,0,0,78,52,30,122,13,113,29,21,69,21,64,38,1,0,7,13,17,43,15,23,38,172,6,17,72,80,331,189,10,167
Can Tho,6,47,71,11,54,84,36,38,40,68,0,26,8,123,138,36,53,0,2,30,3,2,109,54,48,97,18,17,51,17,89,19,82,45,1,0,15,16,19,36,34,40,44,30,0,7,42,68,428,240,21,210
Melaka,15,70,731,66,118,422,250,858,152,236,0,370,13,1089,1486,546,1809,24,14,343,27,37,1097,716,203,944,120,438,120,224,348,200,515,217,52,0,306,352,131,516,255,267,586,463,120,92,807,619,2036,1399,123,1291
Singapore,36,38,126,13,38,90,18,31,64,60,5,66,8,87,235,198,227,4,4,35,2,1,111,55,30,111,54,38,17,71,28,63,41,15,0,0,9,12,36,91,40,39,80,14,8,18,192,208,239,160,19,143
Jakarta,0,0,14,6,2,5,1,4,4,1,0,8,4,17,8,4,7,1,1,3,1,1,6,1,0,7,0,9,3,1,8,1,10,3,0,0,6,8,1,3,5,4,5,16,0,1,4,7,21,10,0,9
Semarang,23,134,207,28,27,96,39,124,45,39,1,51,3,382,206,125,134,22,4,44,4,5,212,191,70,209,21,153,21,34,107,32,134,101,1,0,67,146,35,75,118,109,75,163,3,69,131,223,421,372,26,324
Sydney,27,50,28,1,25,110,28,199,100,56,1,88,1,304,455,293,347,0,10,81,5,5,266,154,29,176,22,118,44,54,77,50,84,44,2,0,54,50,23,82,142,138,63,185,71,32,308,391,476,177,15,145
Melbourne,34,63,72,0,27,103,25,203,54,67,15,130,15,264,520,287,294,2,30,34,2,9,234,107,63,195,29,66,19,109,94,70,99,26,0,0,47,47,34,104,134,145,37,94,70,32,274,399,340,168,26,150
Wellington,42,80,74,22,25,52,11,58,51,43,4,72,7,211,220,145,165,2,0,28,3,0,103,82,52,89,14,57,8,62,49,51,59,20,4,0,30,35,19,66,36,28,32,64,35,20,156,159,313,108,12,93
Christchurch,6,2,7,0,6,9,1,12,5,8,0,3,0,3,41,24,26,0,1,2,0,0,12,4,2,7,5,3,0,9,2,7,2,7,0,0,3,3,2,3,4,5,6,10,1,1,26,26,7,24,6,22
Dakar,5,260,15,82,41,64,19,82,57,75,2,54,4,131,203,61,80,1,13,49,10,11,150,43,93,158,20,61,64,78,49,72,41,53,4,0,9,17,26,76,67,100,123,39,1,55,103,114,505,146,5,106
Accra,17,125,34,64,13,129,30,60,97,71,3,81,2,201,174,90,101,5,12,86,26,19,140,116,80,230,55,72,75,59,106,55,129,35,6,1,74,113,29,67,52,61,77,61,7,13,95,125,404,328,32,304
Lagos,55,188,140,77,71,231,41,195,138,102,51,298,63,313,358,169,177,12,21,91,18,32,283,164,189,344,67,83,96,97,215,84,235,56,11,0,99,177,77,159,129,125,94,60,47,70,167,262,333,418,32,387
Addis Ababa,99,97,206,73,152,208,54,197,138,100,7,184,26,323,277,106,144,26,53,128,37,18,274,159,70,311,60,142,135,118,132,84,114,79,8,0,79,91,75,149,103,98,141,204,42,58,144,175,901,385,25,333
Durban,70,74,18,8,7,185,1,153,60,63,0,42,0,282,383,167,173,19,6,229,3,11,285,109,56,86,15,24,64,90,30,93,19,18,0,0,1,1,2,46,235,122,144,87,1,13,167,280,365,398,93,281
Cape Town,3,133,163,15,83,264,45,264,218,70,16,212,36,322,469,280,278,7,207,201,93,103,444,207,172,452,121,157,103,79,93,61,97,41,3,0,48,54,49,139,140,145,143,256,28,46,283,369,792,329,36,267
Boulder ,12,62,17,2,26,31,18,74,36,36,0,22,0,111,233,174,184,0,0,8,0,0,61,56,34,57,13,47,15,45,27,37,25,22,1,0,0,5,14,36,10,15,32,70,6,4,178,181,189,78,7,61
Seattle,120,52,7,1,72,86,30,66,70,20,5,151,4,32,154,87,109,0,42,30,14,45,82,43,32,71,17,20,69,20,46,19,41,11,1,0,28,57,15,44,14,13,25,20,2,34,88,95,433,81,17,75
Oakland,97,115,16,1,44,87,14,109,91,15,1,112,2,147,347,245,279,1,40,65,32,39,231,113,128,122,17,51,39,19,97,15,99,5,6,0,4,19,16,64,67,69,53,71,18,29,235,290,433,260,11,218
Berkeley,10,152,44,2,16,20,16,71,40,15,0,55,0,171,204,140,148,0,3,22,6,8,102,55,32,53,7,77,15,22,43,14,42,2,2,0,2,9,21,33,47,54,34,78,17,4,139,186,434,141,8,127
Los Angelas,110,154,142,11,95,150,83,179,145,47,28,269,27,338,446,249,282,1,105,126,68,72,138,128,89,133,15,204,108,87,221,70,222,27,4,0,24,48,82,172,42,66,172,216,89,78,288,286,851,295,24,258
El Paso,23,80,44,1,43,73,23,121,52,48,9,90,6,141,312,209,263,0,3,67,0,1,95,135,71,96,21,8,36,62,55,32,63,47,1,0,7,23,32,49,20,30,67,10,6,30,216,225,396,265,31,247
Dallas,87,33,15,1,13,174,29,58,71,23,9,331,4,244,343,337,283,0,74,221,25,71,101,121,152,173,23,31,94,68,134,21,168,10,0,0,32,107,77,79,36,35,153,9,25,55,274,290,369,262,30,242
Tulsa,29,43,1,0,59,213,51,162,52,16,22,251,23,170,337,256,274,1,90,79,73,120,147,98,131,144,19,63,112,20,29,17,43,16,3,0,12,32,26,45,24,34,61,37,32,90,246,255,470,237,6,203
Houston ,133,245,234,17,111,245,84,406,267,91,25,363,19,372,723,402,487,2,30,81,25,25,370,252,137,375,62,196,175,149,284,95,321,50,41,1,79,156,69,173,57,85,129,215,102,106,430,453,1082,578,89,511
New Orleans,35,92,101,2,32,71,20,90,64,55,1,100,2,119,124,59,75,0,21,45,11,13,84,66,51,116,17,62,30,63,96,51,73,26,1,0,33,47,16,59,7,9,18,85,10,28,76,64,431,151,31,129
St. Louis,16,42,5,0,20,76,28,61,58,24,5,83,6,79,157,102,111,1,37,40,23,64,97,48,70,70,8,18,39,38,46,34,45,9,1,0,33,45,34,60,41,49,47,15,10,23,103,136,379,147,28,132
Chicago,114,276,52,2,97,129,63,170,161,48,10,223,9,216,1064,874,889,0,64,64,60,46,870,130,79,149,12,100,50,54,215,36,264,12,6,0,48,121,53,113,773,790,91,54,23,55,880,1642,974,250,19,210
Atlanta,131,216,59,8,147,214,75,178,113,64,7,163,9,223,484,317,333,8,38,87,53,85,216,164,127,250,30,43,93,55,168,52,199,41,8,0,55,121,61,102,17,28,107,22,31,80,281,287,676,324,16,288
Greater Miami and the beaches,61,91,88,0,18,79,84,149,141,33,11,159,22,297,402,227,256,2,35,45,8,26,259,107,85,130,19,92,68,47,112,29,158,15,4,0,46,81,25,128,87,129,120,92,17,50,231,311,413,330,41,245
"Washington, DC",141,112,19,0,55,146,34,155,126,34,11,260,10,168,195,84,104,0,45,76,52,57,310,107,95,173,40,52,59,34,125,26,172,23,3,0,15,73,60,120,179,169,52,97,23,70,94,246,221,182,19,148
Pittsburgh,52,164,57,12,81,117,11,135,85,48,6,137,6,324,252,140,164,2,21,67,15,26,132,79,78,112,22,63,33,60,139,48,148,29,15,1,14,63,47,105,61,77,73,57,24,59,142,180,662,234,30,199
New York,357,638,210,91,331,323,99,408,375,148,97,859,141,448,960,536,617,4,160,203,76,144,542,401,206,477,75,262,246,154,535,146,424,129,23,1,132,252,197,382,137,148,135,174,102,155,550,664,3087,1140,110,1042
San Francisco,117,50,29,3,31,46,24,64,35,24,5,112,0,286,180,133,161,2,4,22,9,10,93,108,19,73,4,125,46,26,82,25,81,27,0,0,10,49,30,42,44,46,42,123,49,19,133,170,426,245,5,193
Honolulu,142,374,93,14,140,118,37,183,126,75,4,101,8,403,558,407,441,3,19,42,4,33,147,86,106,172,55,218,98,82,170,75,187,21,16,0,21,95,41,104,27,45,74,156,54,19,414,428,655,263,38,222
Vancouver,24,51,26,0,29,71,13,103,61,26,1,42,1,297,417,183,226,4,6,27,3,3,98,106,60,108,17,139,44,33,125,32,121,35,1,0,2,10,9,44,31,50,81,252,68,7,188,206,314,180,25,131
Calgary,28,79,84,10,43,348,54,262,401,123,7,125,17,383,538,335,399,3,10,156,2,4,492,259,174,481,161,64,131,153,480,111,472,20,18,0,7,28,45,91,101,87,93,73,13,37,366,387,779,402,46,325
Toronto,93,116,47,5,115,69,22,100,108,67,4,133,3,414,545,236,267,2,10,92,7,14,161,131,56,142,17,64,66,78,155,73,197,31,6,0,77,91,30,84,58,83,96,101,43,11,238,290,708,367,39,296
Montreal,13,19,18,1,16,47,37,65,33,31,0,23,1,215,133,60,70,0,11,21,5,5,85,69,34,87,20,66,26,28,81,26,82,35,1,0,20,42,15,91,24,42,39,110,54,6,80,74,300,155,12,137
Amman,14,111,54,3,36,86,29,106,79,65,4,41,4,249,190,79,120,0,5,42,2,5,85,120,55,149,22,73,47,64,60,59,81,15,1,0,103,112,47,105,20,28,67,22,4,67,116,87,456,321,13,298
Athens,31,218,13,30,121,259,32,232,134,79,11,64,11,243,435,140,263,16,11,182,4,5,292,157,107,354,70,115,135,94,117,79,133,64,16,0,18,32,39,170,88,136,248,45,14,41,150,159,1376,567,10,515
Belfast,59,93,21,14,12,133,5,99,150,24,3,97,8,136,113,50,58,0,9,60,1,6,160,72,167,121,57,27,59,35,104,18,104,67,2,0,24,25,22,77,51,45,40,164,3,10,47,81,669,128,4,124
Bristol,31,218,13,30,121,259,32,232,134,79,11,64,11,243,435,140,263,16,11,182,4,5,292,157,107,354,70,115,135,94,117,79,133,64,16,0,18,32,39,170,88,136,248,45,14,41,150,159,1376,567,10,515
Byblos,1,42,13,19,14,54,11,99,40,42,7,39,16,118,187,74,153,3,3,35,6,7,69,58,65,102,29,17,21,40,48,31,58,12,3,0,22,26,19,47,15,20,56,37,4,18,75,75,396,150,21,133
Glasgow,6,20,22,1,6,46,5,129,28,7,0,43,1,147,304,154,176,0,5,58,6,7,80,88,76,88,14,17,17,9,23,8,20,22,0,0,10,11,9,43,13,20,58,29,18,30,161,166,339,189,27,171
Greater Manchester,7,22,19,3,10,62,21,83,54,50,2,48,4,253,186,110,109,0,16,48,9,11,92,40,40,67,37,95,12,64,46,49,44,23,0,0,7,8,14,45,27,24,63,234,81,5,116,116,124,105,9,96
London,13,29,101,3,70,123,28,100,44,32,1,53,1,308,162,68,87,0,24,75,12,8,148,87,31,79,12,23,96,40,66,30,63,10,0,0,26,26,19,82,47,30,97,119,68,12,79,81,289,142,4,107
Paris,16,83,49,5,42,72,48,107,56,36,3,84,4,240,195,49,59,14,6,54,4,5,73,58,39,104,19,54,23,45,93,39,111,10,2,0,13,14,15,108,25,8,62,124,38,22,45,44,384,214,58,193
Ramallah,21,51,36,6,24,84,14,136,70,12,4,92,5,173,303,106,157,3,5,60,5,3,137,83,70,138,18,82,35,10,48,8,54,32,1,0,19,25,26,74,55,61,76,94,24,36,127,133,307,194,26,172
Rome,30,97,36,2,22,79,21,73,26,40,0,25,1,138,96,21,96,5,8,41,4,12,66,67,42,97,11,60,56,53,66,48,85,19,17,0,64,64,21,115,27,18,52,55,15,12,37,30,390,221,15,189
Rotterdam,27,110,71,1,4,71,13,93,130,26,4,24,4,174,207,46,53,2,1,39,3,4,215,72,98,186,34,23,14,24,79,25,84,13,11,0,25,2,48,101,60,67,64,32,6,32,50,87,440,152,1,139
Tbilisi,30,76,25,12,21,98,49,108,100,61,3,46,3,282,194,55,98,0,8,43,7,7,145,82,124,200,38,103,71,86,138,72,119,67,5,0,105,107,14,122,27,44,86,161,59,40,81,75,588,300,18,291
Tel Aviv-Yafo,4,32,3,0,17,34,6,59,39,13,1,14,1,16,114,69,81,3,5,19,2,4,48,20,24,59,28,14,11,17,17,16,17,3,0,0,0,3,0,21,4,13,25,2,2,3,76,70,170,99,1,81
Hague,17,39,36,0,8,56,56,76,78,29,5,43,2,141,212,88,82,1,63,61,65,92,72,42,34,80,16,22,30,46,43,34,45,26,0,0,11,17,31,188,18,38,53,58,22,42,82,82,416,72,3,58
Thessaloniki,4,75,47,11,23,254,58,339,220,66,3,47,5,193,412,114,176,16,2,89,10,7,282,124,128,299,95,62,99,75,86,51,138,22,5,0,74,91,38,128,82,80,166,85,31,52,138,141,718,337,13,293
Vejle,52,72,63,17,12,51,28,129,46,56,3,60,5,127,166,108,127,0,13,42,8,8,92,91,43,121,17,24,24,61,31,58,37,18,1,0,7,7,47,98,4,40,100,45,3,79,107,101,365,186,3,162
Ciudad Juarez,5,35,35,8,38,52,25,88,44,45,0,46,0,208,120,60,124,7,28,36,5,8,106,104,111,88,26,22,24,65,66,61,87,18,4,0,4,22,28,92,51,74,74,23,4,54,70,107,428,352,16,315
Mexico,48,41,355,15,21,53,3,67,59,69,0,83,10,309,137,63,91,5,5,47,2,2,61,60,66,108,2,108,44,96,220,78,302,58,13,0,4,105,18,127,47,59,68,238,29,28,74,105,649,263,18,206
Colima,19,89,55,6,14,94,11,107,65,43,3,22,0,222,135,60,72,4,34,64,15,16,189,104,61,173,18,84,45,68,73,65,87,46,7,0,38,46,26,134,140,116,22,129,13,22,60,160,407,341,25,305
Santiago de los Caballeros,10,29,79,79,14,81,37,48,77,45,1,67,23,209,124,82,126,5,42,23,23,28,64,51,28,165,29,64,49,44,87,37,82,57,6,0,3,14,12,96,21,26,43,165,24,66,77,94,550,253,69,208
San Juan,92,175,93,15,36,98,17,104,100,32,38,195,44,226,374,266,283,24,14,33,8,11,183,107,90,143,19,155,75,39,160,23,153,46,7,0,6,27,46,59,80,85,35,133,62,80,272,340,103,318,59,228
Panama City,20,37,114,24,17,72,63,115,61,99,16,82,17,271,251,133,178,3,33,81,16,28,117,131,55,222,15,87,44,112,196,52,215,27,3,0,21,68,37,162,67,63,14,195,2,76,147,183,676,472,42,374
MedellIn,6,20,7,2,1,25,18,47,20,28,0,25,0,128,92,56,104,0,49,51,10,25,29,37,18,84,4,41,20,30,16,30,17,38,3,1,0,5,40,75,19,13,26,122,3,46,55,61,362,201,30,170
Cali,13,25,36,4,2,40,17,27,41,39,1,19,3,162,93,40,93,2,56,31,13,26,43,73,24,55,2,19,49,41,88,37,105,16,5,0,5,42,23,66,34,42,33,52,14,191,41,71,302,201,37,174
Quito,40,53,29,9,114,141,48,82,107,127,0,80,5,316,209,98,186,52,7,50,3,2,122,135,129,186,62,122,66,186,128,136,162,50,1,0,42,101,17,161,45,47,62,170,4,24,130,131,598,495,128,381
Salvador,7,77,14,12,15,199,12,189,133,45,4,72,4,113,252,109,308,2,12,46,2,2,159,71,70,165,85,47,104,86,34,77,45,14,6,0,9,15,39,121,40,42,61,69,1,112,115,118,519,171,8,139
Montevideo,33,65,29,16,13,159,20,150,84,88,6,40,2,359,239,70,202,10,7,53,5,5,150,177,69,272,54,21,101,93,209,60,240,30,24,0,2,85,35,106,75,78,19,148,26,49,72,131,318,645,128,556
Buenos Aires,75,144,19,4,37,110,114,201,78,145,6,134,6,199,113,57,196,12,36,22,10,27,209,81,82,195,41,67,58,154,80,151,120,20,6,0,85,85,72,188,120,126,102,85,37,149,79,171,836,369,13,321
Santa Fe,43,34,39,21,19,105,24,125,67,49,15,78,15,175,164,79,102,12,55,49,18,28,156,67,60,189,23,44,56,62,147,41,183,24,11,0,31,28,45,134,86,87,32,111,10,37,79,155,569,351,49,299
Santiago Metropolitan Area ,28,106,71,6,32,125,19,78,58,93,1,39,10,317,117,57,68,12,62,95,39,63,123,74,57,154,25,81,84,106,58,80,95,22,1,0,91,101,25,190,77,48,74,143,44,34,57,97,577,405,50,336
